"grass_date","is_cb_shop","shipping_channel_id","orders","gmv"
"2021-07-13","1","100001","28885.000000000004","126941.3069484695"
"2021-12-05","1","108001","1115.0","3275.3607013776"
"2021-11-28","0","100008","13.0","78.8554611581"
"2022-05-06","1","108001","3503.0","8264.3673193666"
"2021-07-06","1","108001","202.0","1292.0571164586"
"2022-01-26","0","100007","9845.000000000002","36774.4757524983"
"2021-07-14","1","100001","32142.999999999985","129067.9902116016"
"2022-04-26","1","108002","537.0","9597.6703274564"
"2021-08-06","1","108001","121.0","820.7348997648"
"2021-07-05","1","100001","30625.99999999999","122647.9001954910"
"2021-12-10","0","100003","8560.000000000002","50718.1208019799"
"2022-04-15","1","108005","87.0","2978.8333645009"
"2021-03-14","1","100001","1569.9999999999998","8691.8135499306"
"2022-04-25","1","108002","625.0","10615.9600079355"
"2022-03-18","1","100007","2.0","41.5450353094"
"2022-02-05","0","100009","196.0","358.7130954858"
"2022-02-13","0","100009","405.0","1214.7326767130"
"2022-02-13","1","108004","12.0","274.1922519972"
"2022-04-12","1","100001","67055.00000000001","344844.7970767723"
"2021-08-11","0","100003","9.0","4.1253830697"
"2022-03-15","1","108005","51.99999999999999","2112.4304906380"
"2022-03-29","0","100008","4.0","3.5102117303"
"2022-05-07","0","100008","5.0","28.0125956472"
"2021-12-17","0","100004","796.0000000000001","5753.7173775797"
"2022-02-25","0","100007","11253.000000000005","49963.6712237153"
"2022-04-17","1","108002","635.0","12245.4976502824"
"2022-04-23","1","108005","139.0","4685.5815559440"
"2022-01-05","1","108004","13.0","265.8664246435"
"2021-06-28","1","108001","1140.9999999999998","6215.6435417778"
"2022-03-11","1","100003","3.0","25.2796138020"
"2021-11-14","1","108005","2.0","54.8125729136"
"2022-01-17","0","100007","24857.999999999996","77164.1016910653"
"2021-11-22","1","108005","13.0","511.3201215051"
"2022-05-21","1","100001","46584.99999999999","296989.9340212866"
"2022-05-06","1","108004","6.0","56.3571033530"
"2021-06-17","1","108002","2.0","229.7029983216"
"2021-10-14","1","108005","1.0","9.7975517192"
"2022-05-13","1","100001","55751.99999999997","333620.9963168153"
"2022-05-14","1","108001","1860.0","8909.5931188328"
"2022-05-11","0","100003","19782.0","118364.5768981681"
"2021-12-18","0","100003","9531.999999999995","58223.9712092449"
"2022-03-23","1","108005","69.0","3133.5446008050"
"2022-05-06","0","100009","163.0","625.9773441423"
"2022-03-17","1","108002","616.9999999999999","12931.2271539140"
"2021-08-18","0","100004","12.0","44.6638119689"
"2022-04-18","1","100007","341.0","1685.3217178225"
"2021-12-12","1","100001","218336.00000000038","627269.6456858241"
"2022-05-19","0","100003","13596.999999999998","105757.2312101399"
"2022-01-05","0","100009","9.0","13.2439217738"
"2021-11-16","1","108002","731.0000000000001","16322.8759021597"
"2022-04-10","1","100007","7.0","67.4604663556"
"2022-03-10","1","100007","1.0","13.2099462154"
"2021-09-22","1","100001","40096.99999999996","196970.9661655582"
"2022-04-06","0","100007","11573.0","58142.2257342659"
"2021-04-16","1","108001","3.0","16.7780024614"
"2021-12-07","0","100008","15.0","45.0616154951"
"2021-04-23","1","100001","13366.0","64695.5951472089"
"2021-07-07","1","108001","158.0","948.7889583995"
"2022-05-15","1","108001","2200.0","9555.8346962583"
"2021-08-22","1","100001","40590.999999999956","190291.4734067462"
"2021-08-19","0","100004","78.0","1330.4476111066"
"2022-02-14","0","100009","1777.0","3045.9726185882"
"2022-01-13","1","100001","197537.00000000023","604184.1273058071"
"2021-07-22","1","100001","33022.999999999985","140630.3140679276"
"2022-01-14","1","108001","2032.0","8106.3820011907"
"2021-12-21","1","100001","51702.0","266758.1437425935"
"2021-11-17","1","108002","874.0","17849.1083183861"
"2021-08-20","0","100003","83.0","1407.7215700484"
"2022-05-02","1","108005","189.0","7351.4439347738"
"2021-08-27","0","100004","77.0","1072.8526551016"
"2022-03-12","1","100003","7.0","39.3116213546"
